00 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
01 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
02 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
03 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
04 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
05 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
06 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
07 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
08 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
09 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
10 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
11 000000000000000000 000000000000000000 000000000000000000 000000000000000000 
12 000000000000000000 000000000000000000 000000000010000000 000000000000000000 
13 000000000000000000 000000000000000000 010000000010000010 000000000000000000 
14 000000000000000000 000000000000000000 010000010010000010 000000000000000000 
15 000000000001010000 000000000000000000 010000010011001010 000000000000000000 
16 000000000011010100 000000000000000000 010001010111001111 000000000100000001 
17 011110100011010110 000000000000010000 011001010111011111 100000001111011001 
18 011110111011110110 010010000000010000 111001111111011111 110101001111111111 
19 111111111111110111 010011000000010000 111011111111111111 111111111111111111 
20 111111111111111111 111111110010010100 111111111011111110 111111111111111111 
21 111111111111111111 111111111111111111 011111110111111111 111111111111111111 
22 111111111110111111 111111111111111111 111111111101111101 111111111111111111 
23 111111111100101001 111111111101111111 101111111101111100 111111111111111110 
24 110111111100001001 101111111000110010 101111101000110100 111111111111110000 
25 100101001000000001 100111111000110010 000111100000000000 111111110110100000 
26 100001001000000000 000110010000010010 000100000000000000 111100100110100000 
27 000000001000000000 000010010000010000 000000000000000000 110100000110100000 
28 000000000000000000 000000010000010000 000000000000000000 110100000100100000 
29 000000000000000000 000000000000010000 000000000000000000 110100000000000000 
30 000000000000000000 000000000000000000 000000000000000000 100100000000000000 
